Банк;Заголовок;Оценка;Текст;Дата
Ситибанк;Одностороннее изменение условий, исключение из программы без уведомлений;1;Здравствуйте.Перед тем как открыть счёт и карту в данном банке, много изучил отзывов на данном портале. Отзывы были про этот банк, что он ее из самых хороших для обслуживания и не очень со своими клиентами. Решил рискнуть и открыл карту сити приорити в сентябре 2020 и подключил их страховую программу. Начал активно ей пользоваться и совершать покупки. Большинство операций приходилось на категорию дом и ремонт. Оплачивал картой. Сначала банку не понравились мои поступления на карту. Пришёл запрос предоставить подтверждение дохода. Я предоставил все документы, вопрос был закрыт. После этого запроса уже возникло подозрение к банку, так как ни один банк никогда такого не запрашивал у меня. Далее я получаю первую компенсацию , все нормально и я подумал что опасения зря. Потом , после поездки я теряю карту и заказываю новую. 16 января должна быть выписка по счету, но в эти дни у банка проводятся какие то работы. Приходит выписка и начислений баллов по ней нет. Звоню в ситифон, там составляют обращение и обещают разобраться и ответить. Проходит время, ответа нет и я сам узнаю в ситифон,  что была ошибка и все доначислят. Сегодня, я звоню снова в ситифон с вопросом по этому начислению и мне оператор ничего не объясняя зачитывает ответ и ссылку на пункт 1.6, где банк в одностороннем порядке решил мне эту программу закрыть и все аннулировать. Я спросил на каком основании и что именно банку не понравилось? Этот пункт обвиняет меня и в сокрытие какой то информации, и в обмане, и в злоупотреблении. За все время работы с банками, я первый раз с таким сталкиваюсь и понимаю, что не зря много негатива к этому банку. Банк не любит умных людей и которые свои траты разделяют. Банку не интересно, что крупные покупки проводят по его карте и в одной категории, а остальные по другим продуктам других банков. Нормальный и честный банк мог запросить подтверждение моих расходов и документальные сведения, если его что то бы не устраивало. Данный банк просто послал и все. Я рассчитывал, что в России ситибанк соответствует своей материнской компании в США, но оказалось что они только портят репутацию банка. Понял одно, надо доверять больше отзывам, когда планируешь начинать работу с такими банками. Теперь могу сказать точно, не рекомендую данный банк для обслуживания и открытия счета , так как вам могут не сообщить что их в вас не устроило и просто в одностороннем порядке ысе поменять и прекратить ничего не объясняя. Я ещё составлю обращение на английском языке о работе с клиентами российского подразделения корпорации CITI и отправлю в головную компанию. Посмотрим, как они на это отреагирует и что ответят. Из всего вышесказанного, оценка 1 за отношение к клиентам, хотя в начале работы все устраивало и не было вопросов к данному банку и продуктам.; 29.01.2021 12:21
Газпромбанк;Кредит за один клик;5;Добрый день. В отзыве хотелось бы отметить положительной оценкой возможность получения кредитных продуктов на прозрачных условиях в мобильном приложении и интернет банке. В Газпромбанке это реализовано удобнее и лучше, чем в других банках. Возможность выбора параметров, от страховки до выбора нужной суммы уже из одобренной ранее. Решение приходит через пару минут после заполнения заявки. Так же хотелось бы отметить, что в качестве зарплатного банка, Газпромбанк максимально старается сделать удобным и выгодным обслуживание зарплатных клиентов. К примеру бесплатные карты различных категорий с кешбеком, льготные ставки по кредитам. С горячей линией так же проблем нет, максимальное ожидание за более 10 лет обслуживания в банке не достигало более 3-х минут. Сотрудники в банке стараются решать вопросы, видна их заинтересованность. На этом сайте банки.ру мне помогли решить вопрос с умной картой. Желаю банку и далее развивать дистанционные каналы, в частности реализовать закрытие карт и счетов из мобильного и интернет банка.; 29.01.2021 12:21
СберБанк;Электронная регистрация затянулась;1;Сделка купли-продажи прошла 23 января в офисе Сбербанка. Менеджер банка обещала,что регистрация права собственности будет в пятидневный срок и заверила,что к 29 января мы получим документы. Однако 29 января пришло смс о том, что ДКП только отправились в Росреестр,а регистрация запланирована на 9 февраля 2021г. Услугу ЭР выбрали, чтобы ускорить процесс,но на деле оказывается,что 5900 рублей заплачены впустую! Менеджеры были в курсе технических работ на сайте,но о том, что это увеличит срок регистрации не было и речи,услугу продолжали предлагать. Помимо того,что деньги потрачены впустую, обмануты банком, мы остаёмся на улице (продавец сказала,что съедет,когда документы будут готовы), за отсутствие прописки нужно штраф платить.; 29.01.2021 12:14
ВТБ;недоброжелательное отношение;1;Здравствуйте!27го января 2021 года я обратилась в Филиал №6602 ВТБ 24 по адресу г.Екатеринбург, ул.Ленина, 27, чтобы получить готовую карту.Консультант, которая меня обслуживала, параллельно общалась с двумя сотрудниками, стоявшими у неё за спиной. Я попросила уделить внимание мне, поскольку была приглашена к данному окну по талону. В ответ на мою просьбу консультант резко ответила, чтобы я чётко сформулировала вопрос, по которому обращаюсь к ней.Была произведена выдача карты.Однако консультант не помогла разобраться в работе с мобильным приложением, ничего не рассказала, усмехнулась, когда я неправильно использовала в разговоре банковский термин, после чего стала молча смотреть на меня, пока я вникала как активировать карту.Далее она спросила есть ли у меня ещё какие-нибудь вопросы, но я уже едва сдерживала слёзы от явной невежливости по отношению ко мне.Выйдя в зал ожидания и успокоившись я вернулась к ней и попросила записать для меня её ФИО, так как на этом сотруднике не было бейджа. Она указала мне на талон, лежащий перед ней. То есть я сама должна была додумывать брать ли мне талон, чтобы получить её ФИО, или этот жест означает, что она занята другим клиентом. Грубо и снова невежливо.Обратившись к стойке выдачи талонов я попросила пригласить руководителя, чтобы пообщаться на предмет некачественного обслуживания меня, как клиента.Оказалось, что руководитель -- главный финансовый консультант Строцкая Елена Сергеевна -- и есть тот сотрудник, которая меня обслуживала.После этого я решила наверняка написать отзыв о её изысканной грубости, граничащей с неприязнью то ли к своей работе, ввиду нежелания что-либо объяснить,  то ли к клиентам, которые отнимают у неё время.Качество обслуживания -- 1.Причина -- отсутствие доброжелательности, нежелание помочь, внешнее проявление неприязни.Прошу руководство провести разъяснительную беседу с данным сотрудником о недопустимости такого поведения.; 29.01.2021 12:13
Альфа-Банк;Не отдают закладную!!!;1;"Два года назад взяла ипотеку в Альфа-банке на недвижимость в Ленинградской обл. Сейчас решила рефинансировать её в Сбере. 16.12.2020г отправила на почту ""погашено@альфабанк"" запрос по шаблону банка на предоставление документов. 23 12.2020г мне пришёл ответ с просьбой написать ФИО, номер ипотечного договора, и адрес, куда доставить документы. Т. е. продублировать ВСЕ данные, которые были прописаны в запросе (зачем тогда нужен был шаблон?).  27.12.2020г я продублировала уже в теле письма запрашиваемые данные с вопросом, сдвинулись ли сроки предоставления документов? На письмо ответа не было. Я позвонила на горячую линию, но они не смогли ответить на этот вопрос. Отправили заявку, и сказали, что мне перезвонят. Угадайте с одного раза, перезвонили ли мне? НЕТ! Справка о погашении задолженности на адрес была доставлена. Закладной нет. 28.01.2021г позвонила на горячую линию. Там мне сказали, что закладная может быть на адресе, до меня просто не дозвонились (что странно, я всегда на связи). И отправили заявку, сказав, что мне перезвонят по ней в течение 2х рабочих дней. Хорошо, я сходила в банк по адресу, куда должна была прийти закладная. Документа нет. Я позвонила снова на горячую линию, и, оказывается прошлый оператор напутал, и ОБРАБОТКА моей заявки будет до 5 РАБОЧИХ дней. Все сроки предоставления закладной не соблюдаются!!! На почту не отвечают, по заявкам не перезванивают!!! ГДЕ МОЯ ЗАКЛАДНАЯ???"; 29.01.2021 12:10
РГС Банк;Списали декретные денежные средства в счёт погашения задолженности по кредиту;1;У меня есть потребительский кредит в РГС Банк. В связи с кароновирусной пандемией потерял работу и, чтобы не уволили с работы, ушёл в декретный отпуск по уходу за ребёнком до 1,5 лет. До декабря 2020 года кредит платил исправно. Но ситуация ухудшилась, работу найти не могу. Написал в РГС Банк письмо с просьбой о реструктуризации долга, либо отсрочке платежа. Ответа не получил. До 28.01.2021 года на карту был наложен арест приставами и декретные средства были арестованы, но приставами не списаны. А, как только я добился разблокировки этой Карты приставами, банк их сразу списал в погашение задолженности. Вместо ответа банк списал 13000 рублей, поступающих на карту декретных средств. Ссылаются на договор, в котором прописано безакцептное списание средств в счёт погашения задолженности. Но декретные средства, это не зарплата и не доход. Это деньги ребёнка. Вернуть средства отказываются. Придётся обращаться в суд. Помогите разрешить ситуация. Ребёнка кормить нечем!!!!; 29.01.2021 12:07
Альфа-Банк;Невозможно получить доступ к р/с при смене директора уже неделю!!!;None;"ООО ""Алитера-М""ИНН 772 443 95 0022.01 подали документы в связи со сменой директора в Альфабанк в БЦ ""Румянцево"" (Москва). Директор лично подавала.Приложили документы заверенные нотариуосм (решение единственного участника и тд), которые были поданы в ФНС и по которым были внесены изменения в ЕГРЮЛ о новом директоре.В понедельник получаем информацию, что нам отказали, так как решение не подходит. Как?! Его признало государство в лице ФНС и внесло изменения в ЕГРЮЛ!Документы переделывали, переподали. Отказ. Потом в третий раз исполнили указания операционаста банка, снова подали.Ждоли ответ - тишина, пришлось представителю идти в банк.В среду сказали что есть еще ошибка- они не могут куда то в системе ввести наш имейл - не подходит. ПРи этом по посьбе представителя банка мы 2 раза имейлом отправляли документы!Имейлом очень редко мы не пользуемся в связи с тем, что далеко от интернета. В документах также указан тел и другие данные.В итога директору приходится из больницы в Краснодаре приезжать и переподавать заявление.Менеджер приняла, но в ответ - тишина. Информации нет о статусу, никому не дозвониться и ничего узнать не возможно. В итоге - у нас сорваны платежи по налогам, зарплата и производственный цикл, так как нет доступа к р/с для платежей. А банк- как в трубу пытаешься кричать, не ответа ни информации. Менеджеры в отделении говорят - ""ничего не знаем, информацией не владеем"".. Помогите спасти ситуацию!!"; 29.01.2021 12:07
Кредит Европа Банк;Условия по дебетовой карте;5;Добрый день. В офис на московском проспекте я обратилась за консультации. Меня интересовали Условия по вкладу, по которому банк предлагает 5,25 %. Несмотря на то что в офисе были клиенты сотрудница Мария, увидев мою растерянность, сразу уточнила с каким вопросом я пришла. Также рассказала про вклад. Меня смутило что капитализации процентов по данному вкладу не предусмотрено. Ну тогда Мария предложила оформить карту по которой начисляют процент на остаток. Так как я пришла просто за консультацией ничего оформлять сразу я не стала. Но теперь я знаю что в личном кабинете Я могу открыть карту digital Самостоятельно. Благодарю сотрудницу за внимание к клиентам. Банк предлагает высокую ставку и хорошие условия по вкладам.; 29.01.2021 12:07
Россельхозбанк;Отлично проведенная сделка!;5;Мир держится на неравнодушных,отзывчивых людях.Спасибо большое за профессиональную,безупречную работу Горшкову Сергею сотруднику банка АО Россельхозбанк (отделение на 1-ом Красногвардейском проезде, д. 7, стр.1.) Это уже второй совместный проект с данным отделением банка и уже который раз Сергей приходит на помощь. Спасибо за совместную работу и усердный труд. Корректен,подтянут,улыбчив. При этом профессионально,компетентно  и без проволочек решал вопросы по сделке. Лучшая похвала для специалиста-это последующие рекомендации.С удовольствием будем рекомендовать Сергея и данное отделение банка в котором он трудится. Также хочется выразить слова благодарности Филатовой Татьяне Александровне за подготовку таких замечательных сотрудников, ведь отличный специалист - это лицо всего отделения! Нам очень приятно, что руководство данного отделения готовит такие Кадры.; 29.01.2021 12:05
Кредит Европа Банк;Условия по дебетовой карте;5;Добрый день. В офис на московском проспекте я обратилась за консультации. Меня интересовали Условия по вкладу, по которому банк предлагает 5,25 %. Несмотря на то что в офисе были клиенты сотрудница Мария, увидев мою растерянность, сразу уточнила с каким вопросом я пришла. Также рассказала про вклад. Меня смутило что капитализации процентов по данному вкладу не предусмотрено. Ну тогда Мария предложила оформить карту по которой начисляют процент на остаток. Так как я пришла просто за консультацией ничего оформлять сразу я не стала. Но теперь я знаю что в личном кабинете Я могу открыть карту digital Самостоятельно. Благодарю сотрудницу за внимание к клиентам. Банк предлагает высокую ставку и хорошие условия по вкладам.; 29.01.2021 12:03
Альфа-Банк;Банк все хуже и хуже;1;Предыдущая описываемая здесь ситуация, со сменой паспорта и блокировкой в день рождения,тогда разрешилась только указом президента о продлении срока действия паспорта(во время начала ковида). Ситуация продолжилась при попытке обновить данные паспорта.  Предоставил скан паспорта через интернет банк. На сканах указал что копия предоставлена альфа банку. Надпись не закрывала никаких надписей,номеров и других значимых элементов. Пришел отказ в принятии. Я предложил приехать в банк и показать паспорт в живую,и или оставить им те копии что присылал,либо сделать новые,но с вкладкой в сканер надписи,что копия альфа банку. Отказ!  Что наводит на подозрение,о реальности утечки/торговли данными. Иначе,что еще может быть причиной? Паспорт новый,желания раздавать направо налево банкам нет. Один из банков буквально за месяц,сделал себе копию,именно с такой вкладкой-вообще без вопросов! Принял решение закрыть счет. Спросил как. Прямо в приложении можно. Написал в приложение,подписал,получил смс,подтвердил.  ОТКАЗ. Принесите паспорт для сканирования. Нет слов. Планирую приехать в отделение,с заявлением о запрете использовать паспортные данные,и с вызовом полиции на место,в случае отказа закрыть счет,или при предъявлении требования дать отсканировать паспорт. Банк показал себя за время пользования,не клиенто- ориентированным. Почти никакие вопросы невозможно решить. Все звонки сводятся к пустым разговорам,и пожеланиям всего хорошего. Не рекомендую банк никому под работу в бизнесе. Как частное лицо никогда не работал.; 29.01.2021 12:03
